domain,source_type,indicator,supplier_name,category,jurisdiction_hint,verification_needed
archiefweb.eu,SPF include,spf.spamx.denit.net,Onbekend,onbekend,Onbekend,ja
archiefweb.eu,External script,fonts.googleapis.com,Google APIs,third-party script,VS leverancier,ja
archiefweb.eu,External script,fonts.gstatic.com,Google Static,third-party script,VS leverancier,ja
archiefweb.eu,External script,gmpg.org,Onbekend,onbekend,Onbekend,ja
archiefweb.eu,Hosting hint,Cloudflare,Cloudflare,cdn/waf,VS leverancier met wereldwijde edge,ja
readspeaker.com,MX,10 aspmx.l.google.com,Google Workspace of Google diensten,mail/cloud,VS leverancier,ja
readspeaker.com,MX,50 alt1.aspmx.l.google.com,Google Workspace of Google diensten,mail/cloud,VS leverancier,ja
readspeaker.com,MX,50 alt2.aspmx.l.google.com,Google Workspace of Google diensten,mail/cloud,VS leverancier,ja
readspeaker.com,MX,100 aspmx2.googlemail.com,Onbekend,onbekend,Onbekend,ja
readspeaker.com,MX,100 aspmx3.googlemail.com,Onbekend,onbekend,Onbekend,ja
readspeaker.com,SPF include,_spf.google.com,Google Workspace of Google diensten,mail/cloud,VS leverancier,ja
readspeaker.com,SPF include,_spf.salesforce.com,Onbekend,onbekend,Onbekend,ja
readspeaker.com,SPF include,_spf1.readspeaker.com,Onbekend,onbekend,Onbekend,ja
readspeaker.com,SPF include,aspmx.pardot.com,Onbekend,onbekend,Onbekend,ja
readspeaker.com,SPF include,spf.eu.exclaimer.net,Onbekend,onbekend,Onbekend,ja
readspeaker.com,External script,cdn.jsdelivr.net,Onbekend,onbekend,Onbekend,ja
readspeaker.com,External script,cdnjs.cloudflare.com,Cloudflare,cdn/waf,VS leverancier met wereldwijde edge,ja
readspeaker.com,External script,eu-assets.i.posthog.com,Onbekend,onbekend,Onbekend,ja
readspeaker.com,External script,fonts.googleapis.com,Google APIs,third-party script,VS leverancier,ja
readspeaker.com,External script,fonts.gstatic.com,Google Static,third-party script,VS leverancier,ja
readspeaker.com,External script,ingest.promptwatch.com,Onbekend,onbekend,Onbekend,ja
readspeaker.com,External script,kit.fontawesome.com,Onbekend,onbekend,Onbekend,ja
readspeaker.com,External script,use.typekit.net,Onbekend,onbekend,Onbekend,ja
readspeaker.com,External script,www.googletagmanager.com,Google Tag Manager,analytics/tracking,VS leverancier,ja
readspeaker.com,Tracker hint,googletagmanager.com,Google Tag Manager,analytics/tracking,VS leverancier,ja
readspeaker.com,Tracker hint,hotjar.com,Onbekend,onbekend,Onbekend,ja
readspeaker.com,Tracker hint,readspeaker,Onbekend,onbekend,Onbekend,ja
readspeaker.com,Tracker hint,youtube.com,YouTube,video embed,VS leverancier,ja
readspeaker.com,Hosting hint,Cloudflare,Cloudflare,cdn/waf,VS leverancier met wereldwijde edge,ja
