domain,source_type,indicator,supplier_name,category,jurisdiction_hint,verification_needed
belastingenhbl.nl,Tracker hint,piwik,Onbekend,onbekend,Onbekend,ja
belastingenhbl.nl,Tracker hint,readspeaker,Onbekend,onbekend,Onbekend,ja
belastingenhbl.nl,Tracker hint,simanalytics,Onbekend,onbekend,Onbekend,ja
belastingenhbl.nl,Tracker hint,siteimprove,Onbekend,onbekend,Onbekend,ja
belastingenhbl.nl,Hosting hint,Hostnet,Onbekend,onbekend,Onbekend,ja
ris.gemeenteraadhuizen.nl,External script,cdn1.readspeaker.com,Onbekend,onbekend,Onbekend,ja
ris.gemeenteraadhuizen.nl,External script,static.gemeenteoplossingen.nl,Onbekend,onbekend,Onbekend,ja
ris.gemeenteraadhuizen.nl,Tracker hint,readspeaker,Onbekend,onbekend,Onbekend,ja
ris.gemeenteraadhuizen.nl,Tracker hint,youtube.com,YouTube,video embed,VS leverancier,ja
ris.gemeenteraadhuizen.nl,Hosting hint,Onbekend,Onbekend,onbekend,Onbekend,ja
sro.nl,MX,30 d316232.a.ess.de.barracudanetworks.com,Onbekend,onbekend,Onbekend,ja
sro.nl,MX,40 d316232.b.ess.de.barracudanetworks.com,Onbekend,onbekend,Onbekend,ja
sro.nl,SPF include,_spf.axxerion.com,Onbekend,onbekend,Onbekend,ja
sro.nl,SPF include,smtp.dataim.nl,Onbekend,onbekend,Onbekend,ja
sro.nl,SPF include,spf.EU.exclaimer.net,Onbekend,onbekend,Onbekend,ja
sro.nl,SPF include,spf.afas.online,Onbekend,onbekend,Onbekend,ja
sro.nl,SPF include,spf.ess.de.barracudanetworks.com,Onbekend,onbekend,Onbekend,ja
sro.nl,SPF include,spf.mailjet.com,Onbekend,onbekend,Onbekend,ja
sro.nl,SPF include,spf.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
sro.nl,SPF include,spf1.serasoft.com,Onbekend,onbekend,Onbekend,ja
sro.nl,SPF include,windows.ppibv.nl,Onbekend,onbekend,Onbekend,ja
sro.nl,SPF ip4,212.57.57.242,Onbekend,onbekend,Onbekend,ja
sro.nl,SPF ip4,212.57.57.70,Onbekend,onbekend,Onbekend,ja
sro.nl,SPF ip4,45.139.160.33,Onbekend,onbekend,Onbekend,ja
sro.nl,SPF ip6,2a02:690:4000::242,Onbekend,onbekend,Onbekend,ja
sro.nl,External script,ajax.googleapis.com,Google APIs,third-party script,VS leverancier,ja
sro.nl,External script,apis.google.com,Google Workspace of Google diensten,mail/cloud,VS leverancier,ja
sro.nl,External script,b1307353.smushcdn.com,Onbekend,onbekend,Onbekend,ja
sro.nl,External script,demo.recras.nl,Onbekend,onbekend,Onbekend,ja
sro.nl,External script,fonts.googleapis.com,Google APIs,third-party script,VS leverancier,ja
sro.nl,External script,fonts.gstatic.com,Google Static,third-party script,VS leverancier,ja
sro.nl,External script,gmpg.org,Onbekend,onbekend,Onbekend,ja
sro.nl,External script,google-analytics.com,Google Analytics,analytics/tracking,VS leverancier,ja
sro.nl,External script,m15.mailplus.nl,Onbekend,onbekend,Onbekend,ja
sro.nl,External script,maps.googleapis.com,Google APIs,third-party script,VS leverancier,ja
sro.nl,External script,s.gravatar.com,Onbekend,onbekend,Onbekend,ja
sro.nl,External script,ssl.google-analytics.com,Google Analytics,analytics/tracking,VS leverancier,ja
sro.nl,External script,static.getclicky.com,Onbekend,onbekend,Onbekend,ja
sro.nl,External script,static.mailplus.nl,Onbekend,onbekend,Onbekend,ja
sro.nl,External script,www.google-analytics.com,Google Analytics,analytics/tracking,VS leverancier,ja
sro.nl,External script,www.gstatic.com,Google Static,third-party script,VS leverancier,ja
sro.nl,External script,youtube.com,YouTube,video embed,VS leverancier,ja
sro.nl,Tracker hint,doubleclick.net,Onbekend,onbekend,Onbekend,ja
sro.nl,Tracker hint,facebook.net,Onbekend,onbekend,Onbekend,ja
sro.nl,Tracker hint,google-analytics.com,Google Analytics,analytics/tracking,VS leverancier,ja
sro.nl,Tracker hint,googletagmanager.com,Google Tag Manager,analytics/tracking,VS leverancier,ja
sro.nl,Tracker hint,hotjar.com,Onbekend,onbekend,Onbekend,ja
sro.nl,Tracker hint,matomo,Onbekend,onbekend,Onbekend,ja
sro.nl,Tracker hint,vimeo.com,Onbekend,onbekend,Onbekend,ja
